,ep_num,air_date,summary,ep,religion,business,military,home,relationships,race & education,politics,media,other,sports,law & order,medical,family,holidays,travel
0,1,1995-11-17,Our very first broadcast.,1,0.09555526994821423,0.010191797209458623,0.011673894732480015,0.07898967033715254,0.0740420553023932,0.03198090618902407,0.002411484275408555,0.40100205697110847,0.05108215021458943,0.002001804833102916,0.008045187040538757,0.02085079667453035,0.1265255934948859,0.054035191744986534,0.031612141032126624
1,2,1995-11-24,Three teenage boys tell us about their forays into low-level credit card hacking.,2,0.09015739109484239,0.268019222158686,0.04061860323390807,0.029023586293138816,0.11827149679336126,0.04433523040793261,0.004032525778275807,0.0534134641708841,0.007265064472088507,0.21856674069339024,0.05640781932540196,0.0026333799035041993,0.05854554089643027,0.002053540739577629,0.006656394038577914
2,3,1995-12-01,"Decrying the wonders of turkeys, chickens, and other fowl.",3,0.0031995650408743197,0.021122428768755783,0.02409877042386287,0.17602865111196042,0.0176676778102166,0.021009357269279286,0.0018658569144413926,0.1998788213588853,0.37915066919964435,0.03719080108864483,0.009047802946933142,0.03608982728869237,0.021597586738137862,0.048993270006809676,0.0030589140328616884
3,4,1995-12-08,Vacations gone awry—or perhaps vacations that never should have happened.,4,0.0028812213193912567,0.02575193920169092,0.028693299561913854,0.3642331376678376,0.007217118593334935,0.010758433192078047,0.0057351452608858456,0.0026237759614005617,0.09020363842505458,0.009414789888129863,0.0012642756566524358,0.013913571033236089,0.15427877604491289,0.0026270311046332267,0.28040384708884786
4,5,1995-12-15,"Stories that reveal the societal ""trend"" toward anger and away from genuine forgiveness.",5,0.046598961415144316,0.009689885828382606,0.012356302234508267,0.07472495136543059,0.15215150924911447,0.11800389613921385,0.13432175558476003,0.0315309648119045,0.08719002459693104,0.04273063194008043,0.14531962142624413,0.006874783702488425,0.12820691053020608,0.0033632676277725823,0.006936533547818621
5,6,1995-12-22,A Christmas radio play by David Sedaris.,6,0.13197792955674856,0.0029694072530592045,0.002447211238018269,0.10951139657332283,0.0018567576504627398,0.07244130456584738,0.0020493974345551034,0.0025073906988593727,0.05214204643102906,0.04467229371066492,0.05474500696834006,0.0041126086321173995,0.003643596297377775,0.5064347837211082,0.00848886926848908
6,7,1995-12-29,People who quit everything in their lives that they hated.,7,0.0023200082771956416,0.039713436754382006,0.0038042920787999825,0.058383427057188686,0.08599761089942069,0.007442589222491035,0.005043141285927437,0.11977908751347043,0.6347520094083712,0.008923754380908375,0.011691587960647816,0.0027163126889180956,0.012702052598046111,0.0029353954405606283,0.0037952944336719424
7,8,1996-01-03,Reflecting back on 1995.,8,0.16956179985978162,0.05392697012271447,0.027059557925104453,0.009370678974690405,0.0160633277772358,0.433432745726177,0.006404001757154653,0.12030492791032552,0.05072895656960628,0.0020237814815273524,0.02006961280907534,0.002553900994194319,0.05849610174711457,0.024088178601192983,0.005915457744105209
8,9,1996-01-10,Julia Sweeney and her brother found out they each had cancer six months apart.,9,0.001836992379176492,0.0031936542712867524,0.0023941404488242134,0.26519478011644737,0.0017335652170026282,0.0012975296577603043,0.0023859183958774583,0.2256630574715654,0.022923425126572382,0.0016240590987182547,0.001774503072687322,0.19453273532219195,0.27011775992293147,0.001569381883267796,0.0037584976156903615
9,10,1996-01-17,"People living their lives, just like the rest of us. Plus an extra life.",10,0.10079898466618997,0.0019719169210580655,0.0023892979046178744,0.006376192348637016,0.4935258213204474,0.00179041019926191,0.00183471089272693,0.007840403074897584,0.004098858869991091,0.001798240591569306,0.0021622095987295763,0.003467672147451037,0.3674053210344482,0.0019117824496631525,0.0026281779803108904
